ID,AvatarLevel,Gold,Gems,Purchases,VipLevel,TotalPlay,TotalWon,TotalLost,FirstInstallDate,LastSeenDate,Card_score,TotalStars,Overall_progress
usr092485,85,305770,15902,{'gem_sub_1': 15},6,11779,8005,111,2022-03-03,2024-04-12,1.317594075969593,2672,0.38350854141183627
usr075414,51,551512,225,{'starter_1': 1},1,3471,3030,11,2022-11-25,2024-03-16,1.3176658687466647,1449,0.22493373534023942
usr001779,136,17924914,52148,{},0,28351,20213,485,2020-08-03,2024-04-11,1.317733962258484,6281,0.80020431068050124
usr062696,140,41649912,9977,"{'gem_sub_1': 9, 'starter_1': 1}",5,29575,20211,1476,2019-02-12,2024-04-12,1.317792069255852,6237,0.80095359755916939
usr000283,116,10677094,3419,"{'starter_1': 1, 'gem_sub_1': 10, 'prog_s_1': 1, 'prog_s_4': 1, 'daily_5': 1, 'prog_s_3': 1, 'prog_s_2': 1, 'timed_d_1_1': 3, 'timed_d_1_2': 1, 'clan_1': 1, 'prog_32': 1, 'timed_j_1_4': 1, 'timed_g_1_2': 1, 'gem_2': 1, 'timed_f_2_1': 1, 'gem_1': 1, 'timed_f_2_7': 2, 'gem_sub_2': 1}",7,20916,13736,349,2020-05-29,2024-04-11,1.3179010699336335,4833,0.65601279663918255
usr105860,109,27703556,24036,"{'gem_sub_1': 17, 'starter_2': 1, 'prog_s_3': 1, 'gem_3': 1, 'timed_b_1_2': 1, 'timed_b_1_1': 2, 'starter_3': 1, 'gem_2': 1}",9,19078,15425,49,2022-06-05,2024-04-12,1.3181467582122186,3201,0.45591693568923164
usr007518,131,15547286,5042,{'gem_sub_1': 5},4,24559,17956,356,2019-10-24,2024-04-12,1.3182795012649586,6248,0.81318422318422323
usr028973,46,320841,630,"{'daily_7': 1, 'gem_sub_1': 5}",4,2768,2424,11,2022-11-14,2024-01-23,1.3183248285272922,1317,0.19349366682700017
usr020699,117,5377172,3431,"{'special_5': 1, 'gem_sub_1': 6, 'starter_1': 1, 'daily_10': 1, 'prog_27': 1, 'prog_30': 1, 'timed_h_2_1': 1, 'prog_32': 1, 'gem_1': 1, 'timed_g_2_1': 1, 'prog_68': 1, 'gem_2': 1, 'timed_j_3_4': 3, 'clan_1': 1, 'timed_b_2_2': 1}",6,21353,16483,140,2021-04-28,2024-04-12,1.3185709923541844,3818,0.53301245378743412
usr038566,75,347270,47,"{'starter_2': 1, 'gem_4': 1}",4,8448,6219,447,2019-05-09,2024-04-12,1.3185879969604954,3129,0.4314329805996473
usr077751,141,16332252,7682,"{'timed_i_1_4': 4, 'starter_1': 1, 'prog_80': 1, 'prog_75': 1, 'gem_1': 1, 'gem_3': 1, 'gem_sub_1': 22, 'prog_74': 1, 'special_3': 1, 'timed_f_1_2': 4, 'timed_a_1_2': 2, 'timed_l_1_1': 3, 'prog_70': 1, 'timed_l_1_2': 1, 'timed_h_1_2': 1, 'prog_72': 1, 'prog_83': 1, 'starter_2': 1, 'gem_2': 1, 'timed_f_1_1': 5, 'prog_66': 1, 'timed_q_1_4': 2, 'starter_3': 1, 'prog_87': 1, 'prog_88': 1, 'special_4': 1}",13,26868,18113,3144,2018-07-14,2024-04-11,1.3187122402129656,7884,1.0
usr018083,164,1281362,8479,"{'gem_sub_1': 3, 'gem_2': 2}",4,41162,31834,1634,2019-11-30,2024-04-12,1.3187347361507817,7753,0.97482447627402036
usr020412,179,237883972,37401,{'special_4': 1},1,49310,36627,4935,2018-07-25,2024-04-12,1.3189144433531861,7662,0.96856687172476641
usr007301,124,2131587,12753,"{'starter_1': 1, 'gem_sub_1': 25, 'clan_1': 4, 'clan_3': 1, 'prog_75': 1, 'gem_3': 1, 'gem_sub_3': 1, 'gem_sub_2': 4, 'gem_4': 1}",11,24795,19512,187,2021-06-15,2024-04-11,1.3189865765227307,4633,0.62434600964498677
usr092851,175,6754613,5087,{'special_4': 1},1,46229,37050,1194,2018-11-13,2024-04-12,1.3191970191630951,7890,1.0
usr029103,79,17105382,1829,{},0,9255,6219,113,2021-10-29,2024-04-12,1.3192690321941198,1305,0.18014243820695433
usr087993,95,200274,1084,"{'starter_1': 1, 'gem_sub_1': 5}",4,13475,9796,737,2021-12-17,2024-04-11,1.3193337768447018,6187,0.79184120112691536
