ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr100965,161,23828104,19520,{'gem_sub_1': 1},37182,26660,2147,2018-05-07 01:43:04+00:00,1,2024-04-12 05:14:12.040000+00:00,0.9598970112539759,2.7722347366513587,0.9965367965367965,7855.0
usr100974,85,5574668,570,"{'daily_10': 1, 'prog_27': 1, 'gem_1': 1, 'timed_k_2_2': 1}",10467,7122,150,2020-08-27 00:00:00+00:00,3,2024-04-12 02:58:18.405000+00:00,0.686863828994831,1.1526204113342684,0.4740305308726361,3353.0
usr100988,91,724419,29,"{'starter_1': 1, 'gem_2': 1, 'clan_1': 1, 'starter_2': 1, 'gem_sub_1': 10, 'prog_55': 1, 'gem_3': 1, 'gem_1': 1}",10606,7873,898,2021-11-01 00:00:00+00:00,7,2024-04-10 19:50:28.556000+00:00,0.689637151635836,0.6274981353500586,0.6866482414125079,5189.0
usr101001,111,10977772,49575,"{'daily_7': 1, 'prog_10': 1, 'starter_1': 1, 'gem_sub_1': 5, 'gem_1': 3, 'gem_2': 1, 'prog_27': 1, 'prog_32': 1, 'clan_1': 2, 'prog_42': 1, 'timed_j_2_4': 1, 'timed_g_2_2': 1, 'timed_f_3_7': 1}",19186,16401,364,2021-08-14 00:00:00+00:00,5,2024-04-10 16:23:01.072000+00:00,0.6783790460400843,1.1509554316126493,0.40125343066519537,2833.0
usr101007,34,2658300,1632,{},1369,999,40,2024-01-07 00:00:00+00:00,0,2024-04-11 23:40:18.786000+00:00,0.38866876008037265,0.24495494805510756,0.1691454224787558,1109.0
usr101022,68,2764749,1235,{},5819,5144,155,2022-01-11 00:00:00+00:00,0,2024-04-12 04:11:09.036000+00:00,0.617989541941859,0.6492658585348908,0.36404121496975583,2546.0
usr101049,33,3116021,7610,{},1290,994,7,2023-12-17 00:00:00+00:00,0,2024-04-11 21:11:13.567000+00:00,0.3654151987241289,0.2874185535922919,0.1610453743787077,1085.0
usr101053,53,13169245,12741,{'gem_sub_1': 1},4577,2877,134,2021-12-07 00:00:00+00:00,1,2024-01-18 17:47:29.025000+00:00,0.5729833998600385,1.5023025398284222,0.15510379235869431,1027.0
usr101074,85,488479,1818,{},10648,5638,2632,2019-11-17 21:28:05+00:00,0,2024-04-07 15:13:22.895000+00:00,0.5865673121108638,0.5923452340548653,0.26914862914862914,1668.0
usr101077,97,3698772,315,{},13638,9681,908,2021-12-22 00:00:00+00:00,0,2024-04-11 08:36:30.082000+00:00,0.7128952181865692,0.8718211297626162,0.6221900453790457,4673.0
usr101084,34,608687,558,"{'timed_q_3_3': 1, 'gem_sub_1': 1}",1404,1026,30,2021-11-19 00:00:00+00:00,3,2024-03-14 08:39:40.380000+00:00,0.40804222268275325,0.33652966370224874,0.20783475482662475,1381.0
usr101087,111,14645112,67248,{},13095,9390,150,2022-02-21 00:00:00+00:00,0,2024-03-19 15:21:50.706000+00:00,0.7960948974167215,0.6300516495519334,0.7229477312810647,5539.0
usr101094,26,2508700,5978,{'gem_sub_1': 1},732,681,2,2022-01-16 00:00:00+00:00,1,2024-01-20 17:48:58.641000+00:00,0.3169787264716218,0.5412175438280337,0.06664554957237884,399.0
usr101103,115,6080711,4592,"{'starter_1': 1, 'gem_sub_1': 3, 'gem_1': 1}",17746,13013,264,2021-09-09 00:00:00+00:00,3,2024-03-29 01:12:28.790000+00:00,0.8422723900657458,1.5445231551979433,1.0,7890.0
